movie_id,tags,title,overview,cast,crew,popularity_log_norm,year,imdb_score,rt_score,top_recommendations
19995,nd centuri parapleg marin dispatch moon pandora uniqu mission becom torn follow order protect alien civil action adventur fantasi sciencefict cultureclash futur spacewar spacecoloni societi spacetravel futurist romanc space alien tribe alienplanet cgi marin soldier battl loveaffair antiwar powerrel mindandsoul 3d samworthington zoesaldana sigourneyweav jamescameron,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['SamWorthington', 'ZoeSaldana', 'SigourneyWeaver']",['JamesCameron'],0.7408297446588793,2009,7.9,81.0,"[2325, 502, 577, 1196, 1184, 258, 534, 3501, 61, 149]"
285,captain barbossa long believ dead come back life head edg earth turner elizabeth swann noth quit seem adventur fantasi action ocean drugabus exoticisland eastindiatradingcompani loveofone'slif traitor shipwreck strongwoman ship allianc calypso afterlif fighter pirat swashbuckl aftercreditssting johnnydepp orlandobloom keiraknightley goreverbinski,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","['JohnnyDepp', 'OrlandoBloom', 'KeiraKnightley']",['GoreVerbinski'],0.7293253680921861,2007,7.1,43.0,"[12, 197, 17, 214, 92, 107, 185, 841, 7, 3361]"
206647,cryptic messag bond past send trail uncov sinist organ battl polit forc keep secret servic aliv bond peel back layer deceit reveal terribl truth behind spectr action adventur crime spi basedonnovel secretag sequel mi6 britishsecretservic unitedkingdom danielcraig christophwaltz léaseydoux sammend,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","['DanielCraig', 'ChristophWaltz', 'LéaSeydoux']",['SamMendes'],0.6914476242340387,2015,6.8,63.0,"[11, 1317, 29, 3810, 3010, 1707, 3154, 1682, 4035, 1114]"
49026,follow death district attorney harvey dent batman assum respons dent crime protect late attorney reput subsequ hunt gotham citi polic depart eight year later batman encount mysteri selina kyle villain bane new terrorist leader overwhelm gotham finest dark knight resurfac protect citi brand enemi action crime drama thriller dccomic crimefight terrorist secretident burglar hostagedrama timebomb gothamc vigilant cover-up superhero villai tragichero terror destruct catwoman catburglar imax flood criminalunderworld batman christianbal michaelcain garyoldman christophernolan,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['ChristianBale', 'MichaelCaine', 'GaryOldman']",['ChristopherNolan'],0.6980218084391991,2012,8.4,87.0,"[65, 117, 1333, 424, 297, 208, 9, 1632, 3623, 3590]"
49529,john carter war weari former militari captain inexplic transport mysteri exot planet barsoom mar reluctantli becom embroil epic conflict world brink collaps carter rediscov human realiz surviv barsoom peopl rest hand action adventur sciencefict basedonnovel mar medallion spacetravel princess alien steampunk martian escap edgarriceburrough alienrac superhumanstrength marscivil swordandplanet 19thcenturi 3d taylorkitsch lynncollin samanthamorton andrewstanton,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","['TaylorKitsch', 'LynnCollins', 'SamanthaMorton']",['AndrewStanton'],0.5614717731444934,2012,6.6,52.0,"[268, 771, 28, 167, 861, 1300, 26, 2835, 1700, 0]"
559,seemingli invinc spider man goe new crop villain includ shape shift sandman spider man superpow alter alien organ alter ego peter parker deal nemesi eddi brock also get caught love triangl fantasi action adventur dualident amnesia sandstorm loveofone'slif forgiv spider wretch deathofafriend egomania sand narcism hostil marvelcom sequel superhero reveng tobeymaguir kirstendunst jamesfranco samraimi,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","['TobeyMaguire', 'KirstenDunst', 'JamesFranco']",['SamRaimi'],0.7023689469586867,2007,6.3,63.0,"[30, 157, 38, 20, 781, 1504, 806, 10, 78, 213]"
38757,kingdom want charm bandit flynn rider hide mysteri tower taken hostag rapunzel beauti feisti tower bound teen feet magic golden hair flynn curiou captor look ticket tower lock away year strike deal handsom thief unlik duo set action pack escapad complet super cop hors protect chameleon gruff gang pub thug anim famili hostag magic hors fairytal music princess anim tower blondewoman selfish healingpow basedonfairytal duringcreditssting healinggift animalsidekick zacharylevi mandymoor donnamurphi byronhoward nathangreno,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","['ZacharyLevi', 'MandyMoore', 'DonnaMurphy']","['ByronHoward', 'NathanGreno']",0.5763211491014109,2010,7.7,89.0,"[2224, 267, 1661, 122, 907, 387, 3254, 501, 42, 253]"
99861,toni stark tri jumpstart dormant peacekeep program thing go awri earth mightiest hero put ultim test fate planet hang balanc villain ultron emerg aveng stop enact terribl plan soon uneasi allianc unexpect action pave way epic uniqu global adventur action adventur sciencefict marvelcom sequel superhero basedoncomicbook vision superheroteam duringcreditssting marvelcinematicunivers 3d robertdowneyjr. chrishemsworth markruffalo josswhedon,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['RobertDowneyJr.', 'ChrisHemsworth', 'MarkRuffalo']",['JossWhedon'],0.7241752871997952,2015,7.3,76.0,"[16, 68, 31, 26, 92, 78, 180, 127, 230, 124]"
767,harri begin sixth year hogwart discov old book mark properti half blood princ begin learn lord voldemort dark past adventur fantasi famili witch magic broom schoolofwitchcraft wizardri apparit teenagecrush werewolf danielradcliff rupertgrint emmawatson davidy,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","['DanielRadcliffe', 'RupertGrint', 'EmmaWatson']",['DavidYates'],0.6794049558376236,2009,7.6,83.0,"[189, 274, 111, 195, 112, 193, 2224, 774, 1724, 459]"
209112,fear action god like super hero left uncheck gotham citi formid forc vigilant take metropoli rever modern day savior world wrestl sort hero realli need batman superman war one anoth new threat quickli aris put mankind greater danger ever known action adventur fantasi dccomic vigilant superhero basedoncomicbook reveng superpow clarkkent brucewayn dcextendedunivers benaffleck henrycavil galgadot zacksnyd,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","['BenAffleck', 'HenryCavill', 'GalGadot']",['ZackSnyder'],0.7459569995380299,2016,6.5,29.0,"[14, 117, 236, 127, 65, 1333, 161, 208, 3, 180]"
